"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","fouls_total","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","fouls_team","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team"
"2019",1330523,"Sydney Uni Flames","Flames","away","Bendigo Spirit","Spirit",88,81,7,"W","200:00","33","63","52","8","21","38","25","42","59","14","17","82","28","9","37","13","14","4","2","1","14","21","14","88","13","10","2","17","46","15.116666666667","8","9","11","5","0","2","2","0","0"
"2019",1330524,"UC Capitals","Capitals","home","Bendigo Spirit","Spirit",76,66,10,"W","200:00","31","73","42","4","12","33","27","61","44","10","15","66","34","12","46","22","17","12","4","0","10","15","10","76","12","7","11","5","48","33.766666666667","15","9","7","6","0","1","0","1","0"
"2019",1330524,"Bendigo Spirit","Spirit","away","UC Capitals","Capitals",66,76,-10,"L","200:00","25","69","36","7","22","31","18","47","38","9","10","90","33","10","43","12","20","11","0","4","15","10","15","66","19","7","4","23","32","4.0833333333333","4","14","7","6","0","4","3","1","0"
"2019",1330525,"Townsville Fire","Fire","home","Perth Lynx","Lynx",77,82,-5,"L","200:00","25","66","37","10","32","31","15","34","44","17","22","77","31","18","49","22","17","6","2","3","19","19","19","77","15","11","4","5","22","27.733333333333","8","12","8","2","0","7","4","3","0"
"2019",1330525,"Perth Lynx","Lynx","away","Townsville Fire","Fire",82,77,5,"W","200:00","30","70","42","11","25","44","19","45","42","11","14","78","26","11","37","19","10","9","3","2","19","19","19","82","25","10","10","23","28","11.566666666667","11","15","8","2","0","7","3","4","0"
"2019",1330526,"Southside Flyers","Flyers","home","Sydney Uni Flames","Flames",79,86,-7,"L","200:00","31","71","43","6","18","33","25","53","47","11","13","84","23","12","35","17","10","5","2","2","11","12","11","79","13","9","6","10","34","0",,"9","2","2","0","3","1","2","0"
"2019",1330526,"Sydney Uni Flames","Flames","away","Southside Flyers","Flyers",86,79,7,"W","200:00","36","69","52","9","21","42","27","48","56","5","6","83","29","11","40","21","14","6","2","2","12","11","12","86","9","10","4","11","48","38.366666666667","16","9","2","2","0","5","4","1","0"
"2019",1330527,"Melbourne Boomers","Boomers","home","Adelaide Lightning","Lightning",66,57,9,"W","200:00","27","63","42","4","20","20","23","43","53","8","10","80","30","11","41","11","19","13","4","4","19","16","19","66","11","9","2","13","38","39.8","15","8","0","0","0","5","4","1","1"
"2019",1330527,"Adelaide Lightning","Lightning","away","Melbourne Boomers","Boomers",57,66,-9,"L","200:00","21","56","37","6","16","37","15","40","37","9","12","75","25","7","32","14","21","5","4","4","16","19","16","57","18","6","4","10","24","0",,"6","0","0","0","4","3","1","0"
"2019",1330528,"Adelaide Lightning","Lightning","home","UC Capitals","Capitals",78,68,10,"W","225:00","27","77","35","5","21","23","22","56","39","19","24","79","38","22","60","15","21","8","4","6","16","26","16","78","16","14","14","19","34","8.85","11","14","8","4","0","12","7","5","1"
"2019",1330528,"UC Capitals","Capitals","away","Adelaide Lightning","Lightning",68,78,-10,"L","225:00","28","81","34","4","25","16","24","56","42","8","14","57","30","19","49","14","19","10","6","4","26","16","27","68","16","12","6","8","44","33.353333333333","13","8","8","4","1","4","1","3","1"
