"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","efficiency_custom","turnovers_team"
"2016",311879,"Bendigo Spirit","Spirit","away","Townsville Fire","Fire",67,87,-20,"L","199:56","28","63","44","5","16","31","23","47","48","6","7","85","24","12","36","9","19","0","1","1","14","14","67","5","14","0","8","34","1.1681666666667","1","7","5","1","3","1","2","0","1"
"2016",311880,"Adelaide Lightning","Lightning","home","Dandenong Rangers","Rangers",58,85,-27,"L","199:55","22","58","37","3","15","20","19","43","44","11","14","78","31","8","39","16","21","7","3","2","22","11","58","4","2","0","34","24","0",,"6","0","0","6","4","2","0","0"
"2016",311880,"Dandenong Rangers","Rangers","away","Adelaide Lightning","Lightning",85,58,27,"W","199:55","26","63","41","4","15","26","22","48","45","29","37","78","30","11","41","16","10","15","2","3","11","22","85","23","11","3","22","26","39.908333333333","35","13","0","0","7","6","1","0","0"
"2016",311881,"Sydney Uni Flames","Flames","home","Perth Lynx","Lynx",90,78,12,"W","199:55","31","66","46","8","19","42","23","47","48","20","27","74","28","14","42","21","12","9","5","4","15","22","90","18","10","15","15","38","16.117666666667","12","8","20","12","5","4","1","0","0"
"2016",311881,"Perth Lynx","Lynx","away","Sydney Uni Flames","Flames",78,90,-12,"L","199:57","30","72","41","12","28","42","18","44","40","6","10","60","24","13","37","19","14","10","4","5","22","15","78","14","10","9","17","28","17.288666666667","8","8","20","12","7","5","2","0","0"
"2016",311882,"UC Capitals","Capitals","home","Bendigo Spirit","Spirit",77,63,14,"W","199:54","25","57","43","4","15","26","21","42","50","23","28","82","26","8","34","12","13","5","8","1","20","19","77","17","9","6","16","26","10.433","16","13","12","8","0","0","0","0","0"
"2016",311882,"Bendigo Spirit","Spirit","away","UC Capitals","Capitals",63,77,-14,"L","199:54","20","58","34","4","17","23","16","41","39","19","27","70","21","12","33","10","16","3","1","7","21","19","63","10","4","0","15","26","21.484833333333","15","12","12","8","0","0","0","0","2"
"2016",311883,"Melbourne Boomers","Boomers","home","Perth Lynx","Lynx",79,87,-8,"L","199:55","29","61","47","9","20","45","20","41","48","12","14","85","26","11","37","21","24","7","4","3","13","13","79","20","2","4","25","26","8.6951666666667","7","6","13","4","4","2","2","0","0"
"2016",311883,"Perth Lynx","Lynx","away","Melbourne Boomers","Boomers",87,79,8,"W","199:56","32","73","43","13","29","44","19","44","43","10","12","83","22","16","38","18","17","10","4","4","13","13","87","25","14","6","24","34","29.486666666667","16","8","13","4","4","1","3","0","1"
"2016",311884,"Melbourne Boomers","Boomers","home","Dandenong Rangers","Rangers",66,78,-12,"L","199:55","26","64","40","9","24","37","17","40","42","5","6","83","26","8","34","16","15","7","1","2","18","13","66","16","9","10","23","24","8.1106666666667","6","6","12","5","4","3","1","0","0"
"2016",311884,"Dandenong Rangers","Rangers","away","Melbourne Boomers","Boomers",78,66,12,"W","199:55","27","55","49","8","14","57","19","41","46","16","19","84","30","4","34","17","17","5","2","1","13","18","78","18","4","10","12","26","27.195666666667","16","8","12","5","3","2","1","0","0"
"2016",311885,"UC Capitals","Capitals","home","Sydney Uni Flames","Flames",75,77,-2,"L","199:55","23","65","35","9","18","50","14","47","29","20","26","76","18","15","33","18","12","2","2","3","14","20","75","11","14","0","11","24","23.3965","9","7","7","4","0","0","0","0","0"
"2016",311885,"Sydney Uni Flames","Flames","away","UC Capitals","Capitals",77,75,2,"W","199:56","32","67","47","6","16","37","26","51","50","7","8","87","23","7","30","12","13","5","3","2","20","14","77","9","8","2","8","50","13.607","8","13","7","4","0","0","0","0","2"
"2016",311886,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx",60,80,-20,"L","199:54","27","70","38","5","18","27","22","52","42","1","4","25","30","16","46","17","16","3","3","1","10","9","60","12","8","2","17","36","12.100666666667","9","17","9","2","4","1","3","0","0"
"2016",311886,"Perth Lynx","Lynx","away","Adelaide Lightning","Lightning",80,60,20,"W","199:56","31","75","41","11","27","40","20","48","41","7","9","77","28","16","44","13","11","11","1","3","9","10","80","12","11","0","24","30","26.216","20","11","9","2","5","2","3","0","1"
"2016",311887,"Townsville Fire","Fire","home","Sydney Uni Flames","Flames",75,76,-1,"L","199:55","28","69","40","6","20","30","22","49","44","13","18","72","25","13","38","20","19","6","1","7","19","21","75","23","9","0","13","28","29.0495","9","9","18","11","8","5","3","0","0"
"2016",311887,"Sydney Uni Flames","Flames","away","Townsville Fire","Fire",76,75,1,"W","199:57","27","61","44","7","21","33","20","40","50","15","18","83","30","12","42","13","25","7","7","1","21","19","76","17","8","0","17","28","6.9508333333333","3","7","18","11","2","2","0","0","0"
"2016",311888,"Bendigo Spirit","Spirit","home","Melbourne Boomers","Boomers",76,69,7,"W","199:56","23","59","38","3","10","30","20","49","40","27","32","84","28","15","43","17","19","3","4","5","27","24","76","16","13","9","34","40","25.418333333333","11","10","14","10","3","3","0","0","0"
"2016",311888,"Melbourne Boomers","Boomers","away","Bendigo Spirit","Spirit",69,76,-7,"L","199:55","19","60","31","2","13","15","17","47","36","29","34","85","24","15","39","9","12","9","5","4","24","27","69","18","11","4","7","26","11.653333333333","7","13","14","10","5","1","4","0","0"
"2016",311889,"Perth Lynx","Lynx","home","Dandenong Rangers","Rangers",87,77,10,"W","199:55","31","66","46","15","29","51","16","37","43","10","11","90","27","9","36","16","10","7","9","2","14","12","87","16","6","6","23","28","38.000333333333","17","12","0","0","2","1","1","0","0"
"2016",311889,"Dandenong Rangers","Rangers","away","Perth Lynx","Lynx",77,87,-10,"L","199:57","28","68","41","11","24","45","17","44","38","10","11","90","24","13","37","23","11","6","2","9","12","14","77","9","12","6","38","26","0",,"11","0","0","9","5","4","0","1"
"2016",311890,"Adelaide Lightning","Lightning","home","UC Capitals","Capitals",66,74,-8,"L","199:56","26","65","40","2","10","20","24","55","43","12","18","66","35","9","44","11","13","3","2","2","17","20","66","10","4","4","18","38","26.654666666667","7","6","6","4","5","2","3","0","0"
"2016",311890,"UC Capitals","Capitals","away","Adelaide Lightning","Lightning",74,66,8,"W","199:56","28","73","38","4","17","23","24","56","42","14","17","82","33","12","45","16","8","6","2","2","20","17","74","12","10","0","14","36","10.2605","8","8","6","4","3","0","3","0","0"
"2016",311891,"Dandenong Rangers","Rangers","home","Townsville Fire","Fire",78,92,-14,"L","199:52","31","71","43","4","13","30","27","58","46","12","13","92","20","6","26","15","10","11","1","1","21","13","78","22","4","12","24","18","4.7091666666667","5","11","8","8","2","2","0","0","0"
"2016",311891,"Townsville Fire","Fire","away","Dandenong Rangers","Rangers",92,78,14,"W","199:57","30","60","50","13","24","54","17","36","47","19","24","79","33","11","44","22","19","2","1","1","14","21","92","8","9","3","10","30","31.763666666667","19","10","8","8","3","2","1","0","0"
"2016",311892,"Perth Lynx","Lynx","home","UC Capitals","Capitals",84,72,12,"W","199:56","33","70","47","13","29","44","20","41","48","5","10","50","24","14","38","20","11","9","6","3","16","13","84","17","15","2","17","36","37.029","19","8","12","3","4","3","1","0","0"
