"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","first_name","family_name","scoreboard_name","playing_position","starter","minutes","points","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","plus_minus"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Abigail","Wehrung","A. Wehrung","","1","24:40","14","0","8","0","3","7","42","2","3","66","1","4","25","6","6","100","1","0","1","3","2","0","0","3","0","4","-5"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Chevannah","Paalvast","C. Paalvast","","0","08:41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","1","0","0","1","0","6"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Keely","Froling","K. Froling","","1","07:56","1","1","0","0","0","2","0","0","2","0","0","0","0","1","2","50","1","1","2","1","0","0","0","0","2","2","1"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Lauren","Scherf","L. Scherf","","1","14:15","3","0","0","0","1","7","14","1","2","50","0","5","0","0","0","0","2","0","2","2","0","0","2","1","2","0","2"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Maddison","Rocci","M. Rocci","","0","02:30","2","0","0","2","1","1","100","0","0","0","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","1","2"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Jordan","Hooper","J. Hooper","","1","31:06","19","2","0","0","6","15","40","3","9","33","3","6","50","4","4","100","7","0","7","3","1","3","0","1","2","3","12"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Lauren","Nicholson","L. Nicholson","","1","26:38","8","0","0","0","3","6","50","2","4","50","1","2","50","0","0","0","5","1","6","2","1","1","0","0","2","3","-7"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Abby","Bishop","A. Bishop","","1","31:47","21","2","2","8","8","12","66","1","1","100","7","11","63","4","6","66","6","0","6","3","4","1","0","0","3","5","-7"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Sarah","Elsworthy","S. Elsworthy","","0","03:08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","-1"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Vanessa","Panousis","V. Panousis","","0","09:54","2","2","0","0","1","3","33","0","1","0","1","2","50","0","0","0","1","0","1","1","1","0","0","0","0","0","-10"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Laura","HODGES","L. HODGES","","0","15:23","6","0","2","0","3","5","60","0","0","0","3","5","60","0","0","0","0","1","1","0","0","2","0","1","2","0","-3"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Jessica","Good","J. Good","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Natalie","Novosel","N. Novosel","","1","32:20","14","0","2","2","4","15","26","1","5","20","3","10","30","5","6","83","3","0","3","9","1","0","1","1","4","4","0"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Nicole","Seekamp","N. Seekamp","","1","36:41","6","0","0","2","2","9","22","0","2","0","2","7","28","2","2","100","1","0","1","3","4","2","0","0","3","3","-4"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Colleen","Planeta","C. Planeta","","0","19:18","10","2","0","4","4","7","57","0","1","0","4","6","66","2","2","100","3","0","3","0","0","0","2","0","1","1","-5"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals","Ruth","Hamblin","R. Hamblin","","1","24:46","10","6","0","4","5","9","55","0","0","0","5","9","55","0","0","0","8","5","13","0","0","0","4","2","2","1","2"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Lauren","Nicholson","L. Nicholson","","1","31:59","14","0","3","2","5","7","71","3","3","100","2","4","50","1","2","50","7","5","12","2","0","0","0","0","2","3","17"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Abby","Bishop","A. Bishop","","1","38:22","35","9","2","14","12","20","60","2","5","40","10","15","66","9","9","100","8","2","10","3","5","3","3","0","3","7","11"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Shannon","McKay","S. McKay","",,"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Sarah","Elsworthy","S. Elsworthy","",,"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Vanessa","Panousis","V. Panousis","",,"11:49","2","0","2","0","1","2","50","0","1","0","1","1","100","0","0","0","0","0","0","3","3","0","0","0","2","0","-7"
