"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint"
"2015",137270,"Perth Lynx","Lynx","away","Dandenong Rangers","Rangers",63,65,-2,"L","199:56","23","68","33","7","22","31","16","46","34","10","14","71","26","9","35","16","11","3","5","3","16","16","63","8","4","2","18","22"
"2015",137271,"Melbourne Boomers","Boomers","home","Perth Lynx","Lynx",73,84,-11,"L","199:55","28","65","43","10","22","45","18","43","41","7","12","58","17","13","30","13","18","2","2","1","17","15","73","17","9","3","9","24"
"2015",137271,"Perth Lynx","Lynx","away","Melbourne Boomers","Boomers",84,73,11,"W","199:56","33","67","49","6","16","37","27","51","52","12","13","92","23","11","34","14","18","11","1","2","15","17","84","15","18","4","16","36"
"2015",137272,"Adelaide Lightning","Lightning","home","Dandenong Rangers","Rangers",72,70,2,"W","199:55","27","62","43","3","14","21","24","48","50","15","19","78","18","8","26","15","14","13","2","1","17","18","72","14","6","0","12","32"
"2015",137272,"Dandenong Rangers","Rangers","away","Adelaide Lightning","Lightning",70,72,-2,"L","199:58","28","61","45","6","17","35","22","44","50","8","10","80","24","12","36","16","21","4","1","2","18","17","70","14","10","0","2","28"
"2015",137273,"SEQ Stars","Stars","home","Bendigo Spirit","Spirit",88,97,-9,"L","199:56","32","63","50","7","22","31","25","41","60","17","27","62","21","9","30","18","13","2","7","2","19","20","88","26","7","0","25","40"
"2015",137273,"Bendigo Spirit","Spirit","away","SEQ Stars","Stars",97,88,9,"W","199:57","36","69","52","11","18","61","25","51","49","14","16","87","23","12","35","22","14","6","2","7","20","19","97","15","14","2","5","44"
"2015",137274,"Perth Lynx","Lynx","home","SEQ Stars","Stars",85,67,18,"W","199:55","30","80","37","10","32","31","20","48","41","15","22","68","34","17","51","22","8","8","8","3","18","15","85","16","13","2","19","32"
"2015",137274,"SEQ Stars","Stars","away","Perth Lynx","Lynx",67,85,-18,"L","199:57","22","70","31","5","21","23","17","49","34","18","21","85","29","14","43","13","12","4","3","8","15","18","67","4","15","0","13","24"
"2015",137275,"Dandenong Rangers","Rangers","home","UC Capitals","Capitals",84,80,4,"W","199:57","32","63","50","5","15","33","27","48","56","15","17","88","24","14","38","14","22","5","1","1","16","18","84","11","15","3","10","34"
"2015",137275,"UC Capitals","Capitals","away","Dandenong Rangers","Rangers",80,84,-4,"L","199:54","29","65","44","10","27","37","19","38","50","12","17","70","15","13","28","14","16","5","1","1","19","16","80","7","6","6","15","32"
"2015",137276,"Bendigo Spirit","Spirit","home","Melbourne Boomers","Boomers",65,70,-5,"L","199:55","21","69","30","7","27","25","14","42","33","16","19","84","22","16","38","13","17","11","6","7","22","17","65","15","5","4","3","20"
"2015",137276,"Melbourne Boomers","Boomers","away","Bendigo Spirit","Spirit",70,65,5,"W","199:56","23","57","40","12","23","52","11","34","32","12","19","63","26","10","36","18","19","8","7","6","17","22","70","9","9","0","6","16"
"2015",137277,"Sydney Uni Flames","Flames","home","Townsville Fire","Fire",78,79,-1,"L","224:56","30","73","41","5","21","23","25","52","48","13","18","72","29","9","38","19","14","9","2","3","11","15","78","15","4","0","17","26"
"2015",137277,"Townsville Fire","Fire","away","Sydney Uni Flames","Flames",79,78,1,"W","224:55","34","79","43","4","13","30","30","66","45","7","10","70","28","13","41","20","16","5","3","2","15","11","79","14","13","0","11","44"
"2015",137278,"Adelaide Lightning","Lightning","home","SEQ Stars","Stars",61,72,-11,"L","199:54","23","58","39","2","9","22","21","49","42","13","18","72","26","9","35","9","17","7","4","4","17","16","61","12","2","2","25","28"
"2015",137278,"SEQ Stars","Stars","away","Adelaide Lightning","Lightning",72,61,11,"W","199:56","25","65","38","10","25","40","15","40","37","12","12","100","24","10","34","18","14","7","4","4","16","17","72","10","2","0","18","20"
"2015",137279,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals",78,75,3,"W","199:57","32","73","43","13","28","46","19","45","42","1","2","50","28","7","35","20","6","3","1","3","11","11","78","12","5","0","19","26"
"2015",137279,"UC Capitals","Capitals","away","Melbourne Boomers","Boomers",75,78,-3,"L","199:57","30","65","46","9","18","50","21","47","44","6","10","60","24","4","28","15","7","1","3","1","11","11","75","14","6","0","8","28"
"2015",137280,"Perth Lynx","Lynx","home","UC Capitals","Capitals",88,68,20,"W","199:53","35","79","44","7","22","31","28","57","49","11","13","84","26","15","41","16","14","12","5","10","15","12","88","18","6","2","23","48"
"2015",137280,"UC Capitals","Capitals","away","Perth Lynx","Lynx",68,88,-20,"L","199:57","26","62","41","8","21","38","18","41","43","8","10","80","23","7","30","12","22","7","10","5","12","15","68","15","3","4","24","26"
"2015",137281,"Bendigo Spirit","Spirit","home","Sydney Uni Flames","Flames",64,67,-3,"L","199:57","21","60","35","6","20","30","15","40","37","16","18","88","24","11","35","8","12","4","5","4","23","14","64","9","4","2","2","20"
"2015",137281,"Sydney Uni Flames","Flames","away","Bendigo Spirit","Spirit",67,64,3,"W","199:55","25","69","36","7","12","58","18","57","31","10","14","71","23","18","41","8","13","2","4","5","15","23","67","3","6","0","15","24"
"2015",137282,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers",76,70,6,"W","199:54","30","64","46","2","8","25","28","56","50","14","17","82","21","11","32","7","12","4","2","1","11","19","76","12","14","3","7","36"
"2015",137282,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers",70,76,-6,"L","199:55","29","60","48","7","19","36","22","41","53","5","8","62","22","7","29","11","15","4","1","2","19","11","70","6","9","3","9","26"
"2015",137283,"SEQ Stars","Stars","home","Townsville Fire","Fire",95,75,20,"W","199:56","38","78","48","9","21","42","29","57","50","10","11","90","25","11","36","18","9","4","5","4","16","10","95","24","11","0","16","28"
"2015",137283,"Townsville Fire","Fire","away","SEQ Stars","Stars",75,95,-20,"L","199:56","25","63","39","2","14","14","23","49","46","23","23","100","23","7","30","15","17","3","4","5","10","16","75","4","8","0","9","34"
"2015",137284,"Adelaide Lightning","Lightning","home","UC Capitals","Capitals",75,68,7,"W","199:55","27","70","38","5","16","31","22","54","40","16","25","64","29","15","44","20","16","7","1","3","24","18","75","7","12","0","18","30"
"2015",137284,"UC Capitals","Capitals","away","Adelaide Lightning","Lightning",68,75,-7,"L","199:55","22","58","37","2","16","12","20","42","47","22","28","78","28","7","35","9","17","6","3","1","18","24","68","12","4","0","10","34"
"2015",137285,"Melbourne Boomers","Boomers","home","Sydney Uni Flames","Flames",62,65,-3,"L","199:55","21","58","36","8","24","33","13","34","38","12","15","80","18","17","35","13","21","9","4","0","20","15","62","13","19","0","11","12"
"2015",137285,"Sydney Uni Flames","Flames","away","Melbourne Boomers","Boomers",65,62,3,"W","199:55","26","56","46","5","15","33","21","41","51","8","12","66","14","5","19","14","15","6","0","3","15","20","65","14","5","6","11","24"
"2015",137286,"Townsville Fire","Fire","home","Dandenong Rangers","Rangers",70,61,9,"W","199:55","25","67","37","10","24","41","15","43","34","10","14","71","28","10","38","20","14","0","4","3","12","12","70","9","4","0","8","24"
"2015",137286,"Dandenong Rangers","Rangers","away","Townsville Fire","Fire",61,70,-9,"L","199:57","25","70","35","2","14","14","23","56","41","9","12","75","25","9","34","7","10","4","3","4","12","12","61","16","11","0","9","28"
"2015",137287,"Perth Lynx","Lynx","home","Townsville Fire","Fire",71,77,-6,"L","199:56","28","76","36","6","25","24","22","51","43","9","11","81","21","15","36","11","14","11","0","7","14","12","71","15","13","0","10","32"
"2015",137287,"Townsville Fire","Fire","away","Perth Lynx","Lynx",77,71,6,"W","199:50","31","56","55","9","17","52","22","39","56","6","9","66","25","3","28","19","20","5","7","0","12","14","77","13","2","0","21","36"
"2015",137288,"Sydney Uni Flames","Flames","home","Melbourne Boomers","Boomers",86,78,8,"W","199:56","31","60","51","10","22","45","21","38","55","14","16","87","21","8","29","19","15","7","4","2","16","18","86","18","10","0","24","24"
"2015",137288,"Melbourne Boomers","Boomers","away","Sydney Uni Flames","Flames",78,86,-8,"L","199:56","26","59","44","11","24","45","15","35","42","15","19","78","16","11","27","15","18","6","2","4","18","16","78","9","2","0","31","26"
"2015",137289,"Bendigo Spirit","Spirit","home","UC Capitals","Capitals",78,68,10,"W","199:55","31","68","45","6","19","31","25","49","51","10","12","83","26","8","34","20","11","8","2","4","15","12","78","9","2","2","8","42"
"2015",137289,"UC Capitals","Capitals","away","Bendigo Spirit","Spirit",68,78,-10,"L","199:57","24","60","40","3","13","23","21","47","44","17","19","89","25","6","31","10","13","4","4","2","12","15","68","7","4","1","7","36"
