"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","s_points_from_turnovers","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on"
"2014",64528,"Dandenong Rangers","Rangers","home","Cappie","Pondexter","C",,"C. Pondexter","","1","29:35","16","2","0","0","8","7","13","53","0","2","0","7","11","63","2","2","100","3","0","3","4","0","3","1","0","3","1"
"2014",64528,"Dandenong Rangers","Rangers","home","Tenaya","Phillips","T",,"T. Phillips","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64528,"Dandenong Rangers","Rangers","home","Kathleen","MacLeod","K",,"K. MacLeod","","1","32:07","9","3","0","0","6","4","9","44","1","2","50","3","7","42","0","0","0","4","0","4","7","3","0","0","0","0","1"
"2014",64528,"Townsville Fire","Fire","away","Alex","Wilson","A",,"A. Wilson","","0","21:18","8","2","0","0","4","4","7","57","0","2","0","4","5","80","0","0","0","3","0","3","0","1","0","0","0","0","2"
"2014",64528,"Townsville Fire","Fire","away","Rachael","McCully","R",,"R. McCully","","1","30:21","5","2","0","0","4","2","7","28","0","2","0","2","5","40","1","1","100","1","0","1","3","3","0","0","0","0","3"
"2014",64528,"Townsville Fire","Fire","away","Rosie","Fadljevic","R",,"R. Fadljevic","","0","02:07","2","0","0","0","0","0","1","0","0","0","0","0","1","0","2","2","100","0","1","1","0","1","0","0","1","0","1"
"2014",64528,"Townsville Fire","Fire","away","Stephanie","Cumming","S",,"S. Cumming","","1","29:04","10","4","0","2","2","4","10","40","0","3","0","4","7","57","2","2","100","4","0","4","1","1","2","0","1","0","1"
"2014",64528,"Townsville Fire","Fire","away","Suzy","Batkovic","S",,"S. Batkovic","","1","31:03","16","4","4","0","16","8","21","38","0","1","0","8","20","40","0","0","0","10","4","14","3","5","2","1","2","1","1"
"2014",64528,"Townsville Fire","Fire","away","Mia","Newley","M",,"M. Newley","","1","15:00","2","2","2","0","2","1","3","33","0","1","0","1","2","50","0","0","0","2","1","3","2","2","0","0","0","3","0"
"2014",64528,"Townsville Fire","Fire","away","Kate","Gaze","K",,"K. Gaze","","0","07:10","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0"
"2014",64528,"Townsville Fire","Fire","away","Cayla","Francis","C",,"C. Francis","","1","27:49","17","3","0","0","6","6","13","46","2","3","66","4","10","40","3","3","100","3","3","6","3","3","0","1","0","2","6"
"2014",64528,"Townsville Fire","Fire","away","Micaela","Cocks","M",,"M. Cocks","","0","14:20","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","2","50","0","0","0","0","1","0","0","1","2","1"
"2014",64528,"Townsville Fire","Fire","away","Jillian","Harmon","J",,"J. Harmon","","0","21:43","11","2","2","2","10","5","7","71","0","0","0","5","7","71","1","1","100","4","1","5","1","2","1","0","0","2","3"
"2014",64529,"UC Capitals","Capitals","home","Kristen","Veal","K",,"K. Veal","","1","34:00","17","2","0","2","4","5","10","50","3","7","42","2","3","66","4","6","66","6","0","6","4","1","2","0","0","3","4"
"2014",64529,"UC Capitals","Capitals","home","Tara","Hay","T",,"T. Hay","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64529,"UC Capitals","Capitals","home","Sarah","McAppion","S",,"S. McAppion","","0","04:17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2014",64529,"UC Capitals","Capitals","home","Alice","Coddington","A",,"A. Coddington","","1","19:10","4","0","0","0","4","2","6","33","0","1","0","2","5","40","0","0","0","0","1","1","1","2","0","0","1","5","0"
"2014",64529,"UC Capitals","Capitals","home","Stephanie","Talbot","S",,"S. Talbot","","1","25:16","12","0","2","0","8","4","10","40","0","1","0","4","9","44","4","6","66","6","3","9","1","5","1","1","3","1","7"
"2014",64529,"UC Capitals","Capitals","home","Carly","Wilson","C",,"C. Wilson","","1","38:17","5","0","5","0","0","2","7","28","1","4","25","1","3","33","0","0","0","3","3","6","3","1","0","0","0","1","2"
"2014",64529,"UC Capitals","Capitals","home","Abby","Bishop","A",,"A. Bishop","","1","40:00","17","2","0","2","10","6","20","30","0","3","0","6","17","35","5","8","62","14","4","18","2","5","3","1","2","4","7"
"2014",64529,"UC Capitals","Capitals","home","Jessica","Bibby","J",,"J. Bibby","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64529,"UC Capitals","Capitals","home","Ellie","Junod","E",,"E. Junod","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
