"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","plus_minus"
"2016",311830,"Adelaide Lightning","Lightning","away","Laura","Hodges","L","H","L. Hodges","","1","31:11","21","2","0","18","10","19","52","0","1","0","10","18","55","1","2","50","7","0","7","1","1","2","1","1","3","4","-24"
"2016",311830,"Adelaide Lightning","Lightning","away","Jessica","Good","J","G","J. Good","","1","24:33","4","0","2","2","1","4","25","0","1","0","1","3","33","2","4","50","4","0","4","3","4","0","1","0","1","3","-8"
"2016",311830,"Adelaide Lightning","Lightning","away","Ieva","Nagy","I","N","I. Nagy","","0","19:37","5","0","0","0","2","7","28","1","4","25","1","3","33","0","0","0","0","0","0","1","0","0","0","0","1","0","-11"
"2016",311830,"Adelaide Lightning","Lightning","away","Chelsea","Brook","C","B","C. Brook","","0","04:18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","-7"
"2016",311830,"Adelaide Lightning","Lightning","away","Tayla","Roberts","T","R","T. Roberts","","1","20:32","8","4","0","6","4","9","44","0","0","0","4","9","44","0","0","0","4","2","6","0","3","0","0","0","2","0","-34"
"2016",311830,"Adelaide Lightning","Lightning","away","Samantha","Logic","S","L","S. Logic","","1","37:02","8","0","2","4","3","9","33","1","2","50","2","7","28","1","2","50","4","2","6","10","6","1","0","2","3","3","-32"
"2016",311830,"Adelaide Lightning","Lightning","away","Colleen","Planeta","C","P","C. Planeta","","0","23:57","9","5","0","4","4","8","50","1","4","25","3","4","75","0","0","0","2","1","3","2","1","1","0","0","3","2","3"
"2016",311831,"Melbourne Boomers","Boomers","home","Tegan","Cunningham","T","C","T. Cunningham","","0","10:42","2","2","0","2","1","5","20","0","0","0","1","5","20","0","0","0","1","1","2","0","0","0","0","0","2","0","4"
"2016",311831,"Melbourne Boomers","Boomers","home","Jessica","Bygate","J","B","J. Bygate","","0","01:12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-5"
"2016",311831,"Melbourne Boomers","Boomers","home","Brittany","Smart","B","S","B. Smart","","1","33:28","16","2","0","4","5","12","41","1","2","50","4","10","40","5","6","83","3","2","5","3","3","1","0","0","2","5","-9"
"2016",311831,"Melbourne Boomers","Boomers","home","Rebecca","Cole","R","C","R. Cole","","0","17:05","0","0","0","0","0","5","0","0","2","0","0","3","0","0","0","0","3","0","3","2","2","1","0","1","2","0","4"
"2016",311831,"Melbourne Boomers","Boomers","home","Kasey","Burton","K","B","K. Burton","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311831,"Melbourne Boomers","Boomers","home","Rebecca","Ott","R","O","R. Ott","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311831,"Melbourne Boomers","Boomers","home","Olivia","Thompson","O","T","O. Thompson","","1","20:55","4","2","0","0","0","6","0","0","0","0","0","6","0","4","4","100","5","2","7","0","1","0","0","1","2","3","-2"
"2016",311831,"Melbourne Boomers","Boomers","home","Monique","Conti","M","C","M. Conti","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311831,"Melbourne Boomers","Boomers","home","Madeleine","Garrick","M","G","M. Garrick","","1","36:06","18","0","3","2","8","13","61","2","5","40","6","8","75","0","0","0","5","0","5","1","2","2","0","0","2","2","6"
"2016",311831,"Melbourne Boomers","Boomers","home","Kelly","Bowen","K","B","K. Bowen","","0","10:34","4","0","2","4","2","3","66","0","0","0","2","3","66","0","0","0","3","0","3","1","2","0","0","0","2","0","-3"
"2016",311831,"Melbourne Boomers","Boomers","home","Alice","Kunek","A","K","A. Kunek","","1","31:07","7","0","0","0","1","5","20","1","3","33","0","2","0","4","4","100","6","0","6","1","6","1","1","0","3","2","-8"
"2016",311831,"Melbourne Boomers","Boomers","home","Chante","Black","C","B","C. Black","","1","38:47","16","8","0","10","7","13","53","0","0","0","7","13","53","2","5","40","4","9","13","1","1","0","3","0","4","5","3"
